rank,SEQPLT14,PNAME,PSTATABB,PLFUELCT,co2_intensity,pred_intensity,residual_zscore,pred_uncertainty,ensemble_score,verification_status
3272,1625,Temescal,CA,HYDRO,0.0,0.0,0.782799115148538,0.14410609,0.11744106502590922,missing
3273,1787,Blue Spruce Energy Center,CO,GAS,1460.011,522.27966,0.33720544553354753,0.82779527,0.11738691003708694,verified
3274,8046,W K Sanders,VT,HYDRO,0.0,0.07445391,0.854050741106176,0.08226393,0.11737805082269875,missing
3275,7765,Granite,UT,HYDRO,0.0,0.0,0.7942959682497325,0.09729335,0.11733678937590611,missing
3276,714,"Desert Sunlight 300, LLC",CA,SOLAR,0.0,0.0,0.736383357841468,0.14068286,0.11733671038854535,missing
3277,1296,Pulp Mill Power House,CA,BIOMASS,,189.98117,,0.56971914,0.1172938155408235,missing
3278,7494,Marshall Ford,TX,HYDRO,0.0,0.07086877,0.8524783005386813,0.057073712,0.1172932534891181,missing
3279,5900,Patua Geothermal Project Phase 1A,NV,GEOTHERMAL,0.0,0.18748537,0.9011093400021924,0.1496347,0.11711672386953809,missing
3280,570,California Valley Solar Ranch,CA,SOLAR,0.0,0.0,0.7517116914393479,0.17143674,0.1170289136298389,missing
3281,391,Stewart Mountain,AZ,HYDRO,0.0,0.06552971,0.8501268184368761,0.08840534,0.11702712406958689,missing
3282,1683,Van Norman Bypass Solar Project,CA,SOLAR,,0.0,,0.4529554,0.11694843789258341,missing
3283,1171,Newcastle,CA,HYDRO,0.0,0.076003365,0.8547287017823318,0.066090964,0.11691426234563886,missing
3284,7788,Little Mountain,UT,GAS,,129.18793,,0.7374101,0.1168638174446393,suspicious
3285,7262,Arthur Von Rosenberg,TX,GAS,641.677,99.371,-0.05328226608824507,0.6937407,0.11680869497838345,verified
3286,6366,Carbon Limestone,OH,BIOMASS,0.0,0.03322125,0.8356408224025795,0.08546655,0.1168072267415983,missing
3287,1957,CT Resource Rec Authority Facility,CT,BIOMASS,1963.624,387.56946,0.05783472969201335,0.7769984,0.11661565282777273,verified
3288,3485,Formosa Plastics,LA,GAS,1175.483,338.30893,0.23529959955814586,0.86278707,0.1165839665999275,verified
3289,4096,Greenwood,MI,GAS,1434.206,161.5284,-0.2045099834022998,0.71790594,0.11656943025674679,verified
3290,284,White River Lock and Dam 3,AR,HYDRO,0.0,0.05912153,0.8472888568822885,0.04840459,0.11654775620997647,missing
3291,2093,Dinner Lake,FL,GAS,,437.86163,,0.6180766,0.11645326914360297,suspicious
3292,7880,Elkton,VA,GAS,635.052,112.08464,0.0077020117069785485,0.6946261,0.11643243038922627,verified
3293,6830,Evergreen Community Power,PA,BIOMASS,8.959,0.053654566,-0.2365022120673249,0.15044914,0.11639607029075144,verified
3294,4148,Midland Cogeneration Venture,MI,GAS,760.773,145.09656,0.04334591144591407,0.7453781,0.11637188525148096,verified
3295,255,Mabelvale,AR,GAS,2279.486,251.63258,-0.2148587197692578,0.7904323,0.11636504421759614,verified
3296,1368,Riverside Energy Resource Center,CA,GAS,1236.199,130.56454,-0.23410080809038492,0.7639403,0.11633678978836001,verified
3297,2818,Moyie Springs,ID,HYDRO,0.0,0.0,0.8099457331578318,0.09162201,0.11624102762201656,missing
3298,2139,"LKL BLBD, LLC",FL,SOLAR,,0.0,,0.49229023,0.11623290490647079,missing
3299,1833,Fountain Valley Power Plant,CO,GAS,1288.159,344.11996,0.2002595053414492,0.79112554,0.116025403542019,verified
3300,3937,International Paper Livermore Hydro,ME,HYDRO,0.0,0.0,0.802306763839519,0.084615536,0.11601649496631834,missing
3301,7219,Lagoon Creek,TN,GAS,874.531,230.19943,0.19381570731649775,0.64677775,0.11599103001125159,verified
3302,4728,Hauser,MT,HYDRO,0.0,0.0,0.8150765296211047,0.07124421,0.11594073415637474,missing
3303,3012,MEPI GT Facility,IL,GAS,,83.30668,,0.6939497,0.11589894739314704,suspicious
3304,1954,Covanta Bristol Energy,CT,BIOMASS,1825.936,220.62814,-0.17213417784541243,0.7615878,0.11583122499661165,verified
3305,8296,Ladysmith Dam,WI,HYDRO,0.0,0.0,0.8011624508488937,0.07768076,0.11581174031078352,missing
3306,6777,Allegheny Hydro No 9,PA,HYDRO,0.0,0.0,0.7965079694933452,0.09051323,0.11580577910474683,missing
3307,1782,Arapahoe,CO,COAL,,12.5599,,0.66149807,0.11578097160153523,suspicious
3308,3650,Fore River Energy Center,MA,GAS,873.822,81.14805,-0.29262197418547853,0.6671334,0.11571189295112157,verified
3309,7401,Gibbons Creek Steam Electric Station,TX,COAL,2140.199,476.16275,0.11397108261847985,0.8976897,0.1156706540225727,verified
3310,3424,Hardin County LFGTE,KY,BIOMASS,0.0,0.07591963,0.8546920894591559,0.06336279,0.11566863449737422,missing
3311,5759,Animas,NM,GAS,1130.337,12.887065,-1.2498803036691335,0.5106326,0.11565203225898492,verified
3312,2168,Palm Beach Renewable Energy Facility#1,FL,BIOMASS,1852.42,343.51407,0.028633478514200682,0.8000801,0.11565200048496087,verified
3313,3449,Smithland Hydroelectric Plant,KY,HYDRO,,5.321782,,0.6651738,0.11560089939100296,missing
3314,7093,Jocassee,SC,HYDRO,0.0,0.07512055,0.8543425495592236,0.07052686,0.11557126153290424,missing
3315,5696,Princeton University Cogeneration,NJ,GAS,1150.94,395.51758,0.3185210835118212,0.6255321,0.11549813164611167,verified
3316,8205,Appleton,WI,HYDRO,0.0,0.0,0.8070556205123669,0.088474646,0.11548923413083448,missing
3317,4055,Decorative Panels Intl,MI,COAL,852.905,160.1008,0.035626143577932035,0.7516812,0.1154407018045919,verified
3318,2280,Edward L Addison Generating Plant,GA,GAS,1214.91,238.97244,0.056828031024268734,0.76872045,0.1153884276511147,verified
3319,7753,Echo Dam,UT,HYDRO,0.0,0.040748972,0.8390560651261498,0.08187541,0.11536080635953466,missing
3320,7816,Stairs,UT,HYDRO,0.0,0.0,0.7951203677028462,0.0800928,0.11533608557956852,missing
3321,6848,GLRA Landfill,PA,BIOMASS,0.0,0.049307402,0.842909050323906,0.06193446,0.11532795374807797,missing
3322,6995,Viking Energy of Northumberland,PA,BIOMASS,,2.2365108,,0.4522636,0.11532128625665199,missing
3323,7958,Tenaska Virginia Generating Station,VA,GAS,868.583,29.377234,-0.7578300948111468,0.52718234,0.11530652412860787,verified
3324,5253,Turner Shoals,NC,HYDRO,0.0,0.0,0.7970960555915946,0.095059514,0.11526423907582403,missing
3325,810,Fontana,CA,HYDRO,0.0,0.057560235,0.8465948088670022,0.07406137,0.1152319054224555,missing
3326,2390,Wallace Dam,GA,HYDRO,0.0,0.09809781,0.8642913288295975,0.06340797,0.11523009158426357,missing
3327,1636,Thomas M Knott Cogen Facility,CA,GAS,,24.662931,,0.56445974,0.11517265353546446,suspicious
3328,1057,Los Esteros Critical Energy Facility,CA,GAS,960.733,327.27444,0.31456702936856645,0.5785376,0.11513347889295043,verified
3329,165,ExxonMobil Mobile Bay Onshore,AL,GAS,1266.81,99.4936,-0.37234481143729264,0.7840461,0.11496412992675119,verified
3330,5562,Bristol Myers Squibb Lawrenceville,NJ,GAS,2446.208,16.596287,-1.50149406395965,0.65912104,0.11492422278509848,verified
3331,2776,Gem State,ID,HYDRO,0.0,0.0,0.8109648036106802,0.09055257,0.11490192335667455,missing
3332,1070,Malaga Power,CA,GAS,1187.641,362.66272,0.2630734741015949,0.74670213,0.11478796905129114,verified
3333,1456,Second Imperial Geothermal,CA,GEOTHERMAL,0.0,0.07415107,0.8539181130092863,0.13070856,0.11477777286436325,missing
3334,4161,Ninth Street Hydropower Project,MI,HYDRO,0.0,0.0,0.771188048774753,0.15664686,0.11476404953965304,missing
3335,2299,Hartwell Lake,GA,HYDRO,0.0,0.16429774,0.8918318228776165,0.16916338,0.11474018247208542,missing
3336,2581,Iowa State University,IA,COAL,1093.304,281.5034,0.18316746204467635,0.7732649,0.11471172581805067,verified
